new_product_code;allocation_type;corresponding_historical_product
10002039001;common_allocation;10002037001
10002051001;common_allocation;10002072001
10002911001;common_allocation;10024001001
10010001001;common_allocation;10011004001
10010007001;common_allocation;10013007001
10010027001;common_allocation;10010026001
10013011001;common_allocation;10011004001
10014005001;common_allocation;10052014001
10014006001;common_allocation;10011007001
10014075001;common_allocation;10014073001
10014081001;common_allocation;10014080001
10014103001;common_allocation;10012009001
10016006001;common_allocation;10000007001
10016018001;common_allocation;10014030001
10020093001;common_allocation;10012899001
10023004001;common_allocation;10022915001
10023023001;common_allocation;10023066001
10023025001;common_allocation;10023054001
10023087001;common_allocation;10023103001
10023100001;common_allocation;10023075001
10033062001;common_allocation;10031012001
10034044001;common_allocation;10031023001
10035041001;common_allocation;14222119001
10040015001;common_allocation;10040021001
10041014001;common_allocation;10041007001
10041058001;common_allocation;10016020001
10041069001;common_allocation;10030001001
10052033001;common_allocation;10052020001
10904008001;common_allocation;10904021001
11010052001;common_allocation;11010027001
11022006001;common_allocation;11022025001
11023015001;common_allocation;11070029001
11030079002;common_allocation;11032014002
11030080001;common_allocation;11070011001
11030183001;common_allocation;11030183002
11031908001;common_allocation;11070018001
11040004001;common_allocation;11040008001
11050037001;common_allocation;11050129002
11050055001;common_allocation;11051019001
11051012001;common_allocation;11051006001
11070034001;common_allocation;11070001001
11070037001;common_allocation;11072897001
11070040001;common_allocation;11040020001
11070042001;common_allocation;11070015001
11070063001;common_allocation;11042002001
11072004001;common_allocation;11071008001
11072011001;common_allocation;12212011001
11075006001;common_allocation;11051009001
11101002001;common_allocation;11101036001
11101013001;common_allocation;11100019001
11103045001;common_allocation;11050053001
11103128001;common_allocation;11101029001
11103187001;common_allocation;11103099001
11110032001;common_allocation;11110013001
11111023001;common_allocation;11050102001
12000044001;common_allocation;12012164001
12000224001;common_allocation;12000225001
12000396001;common_allocation;12011182001
12000468001;common_allocation;12000319001
12001018001;common_allocation;12005108002
12001093001;common_allocation;12001004001
12002037001;common_allocation;12000020001
12002096001;common_allocation;12002018001
12002158001;common_allocation;12000319001
12003031001;common_allocation;12000377001
12003058001;common_allocation;12005107006
12005007001;common_allocation;12102024001
12005072005;common_allocation;12005072003
12005082013;common_allocation;12005082002
12005093010;common_allocation;12017019001
12006020001;common_allocation;12006048001
12006144001;common_allocation;12034171001
12010003001;common_allocation;12017016001
12010058001;common_allocation;12010214001
12010147001;common_allocation;12010149001
12010261001;common_allocation;12010144001
12011101001;common_allocation;12011477001
12011140001;common_allocation;12011257001
12011177001;common_allocation;12011005001
12011293001;common_allocation;12011084001
12011322001;common_allocation;12011299001
12012048001;common_allocation;12022047001
12016035001;common_allocation;12020141001
12020234001;common_allocation;12020008001
12020341001;common_allocation;12021923001
12020342001;common_allocation;12020035001
12020384001;common_allocation;12020196001
12020964001;common_allocation;12020383001
12020966001;common_allocation;12020196001
12021069001;common_allocation;12022005001
12021994001;common_allocation;12001027001
12022030001;common_allocation;12023463001
12022062001;common_allocation;12020249001
12022127001;common_allocation;12012119001
12022128001;common_allocation;12021094001
12034103001;common_allocation;12034100001
12103081001;common_allocation;12103098001
12103147001;common_allocation;12103105001
12103179001;common_allocation;12106086001
12104027002;common_allocation;12104027001
12105018001;common_allocation;12010054001
12120011001;common_allocation;12122015001
12120031001;common_allocation;12120088001
12120041001;common_allocation;12130045001
12120090001;common_allocation;12121051001
12121010001;common_allocation;12121051001
12122037001;common_allocation;12121066001
12130038001;common_allocation;12130086001
12130051001;common_allocation;12130052001
12201077001;common_allocation;12201104001
12230999001;common_allocation;12231005001
12232010001;common_allocation;12233034001
12232017001;common_allocation;12326002001
12233028001;common_allocation;12130004001
12234916001;common_allocation;12234915001
12234934001;common_allocation;12233034001
12327086001;common_allocation;12321040001
14000025001;common_allocation;14111018001
14001143001;common_allocation;14011010001
14002032001;common_allocation;14002002001
14002052001;common_allocation;14010071001
14010899001;common_allocation;14221113001
14013015001;common_allocation;14020053001
14111007001;common_allocation;14244031001
14111035001;common_allocation;14010040001
14204067001;common_allocation;14204125001
14222006001;common_allocation;14222999001
14222036001;common_allocation;14133007001
14222120001;common_allocation;14222119001
14222121001;common_allocation;14222119001
14241001001;common_allocation;14241004001
14241025001;common_allocation;14244053001
14242169001;common_allocation;14133030001
14304014001;common_allocation;14310015001
14304084001;common_allocation;14311044001
14304157001;common_allocation;14300019001
14304301001;common_allocation;14301109001
14304302001;common_allocation;14301109001
14304303001;common_allocation;14304047001
14311025001;common_allocation;14303024001
14311104001;common_allocation;14311270001
14311115001;common_allocation;14310101001
14311161001;common_allocation;14311158001
14353009001;common_allocation;14601009001
14353030001;common_allocation;14506112001
14411901001;common_allocation;12326002001
14506127001;common_allocation;14506013001
14506132001;common_allocation;14506139001
14522044001;common_allocation;14521148001
14602085001;common_allocation;14312003001
14602087001;common_allocation;14340008001
14602115001;common_allocation;14602116001
14603013001;common_allocation;14603001001
14611014001;common_allocation;14613013001
14620022001;common_allocation;14616020001
14620061001;common_allocation;14620158001
14620168001;common_allocation;14615079001
14621017001;common_allocation;14600999001
14621018001;common_allocation;14616020001
14621026001;common_allocation;14512916001
14621062001;common_allocation;14620133001
14631949001;common_allocation;14631948001
14632014001;common_allocation;14615083001
14633043001;common_allocation;14633045001
14700031001;common_allocation;14506313001
14701067001;common_allocation;14352058001
14720003001;common_allocation;14720022001
14741050001;common_allocation;14741049001
14741051001;common_allocation;14631018001
14832044001;common_allocation;14832024001
14850003001;common_allocation;14850175001
14850082001;common_allocation;14851063001
14850103001;common_allocation;14850102001
14853047001;common_allocation;14853046001
14854027001;common_allocation;14851063001
15022014001;common_allocation;15021035001
30010005001;common_allocation;11103280001
30045079001;common_allocation;31473013001
30071044001;common_allocation;30071043001
31175002001;common_allocation;65106036001
31533034001;common_allocation;31500025002
31707941001;common_allocation;31503003001
31753028001;common_allocation;30073068001
31761004001;common_allocation;31623006001
32431067001;common_allocation;31273002001
32503040003;common_allocation;32503007003
34123005001;common_allocation;33551004001
34511006001;common_allocation;31270006001
41212916001;common_allocation;41212906001
41220010001;common_allocation;41422018001
41232043001;common_allocation;41301002001
41303054001;common_allocation;41234006001
41417001001;common_allocation;41302901001
41521089001;common_allocation;41234002001
41601020001;common_allocation;41244001001
61080025003;common_allocation;60011899001
